,Afstemningsid,Parti,For/imod/hverken
172,21,KF,Imod
173,22,V,For
174,22,DF,For
175,22,KF,For
176,22,S,Imod
177,22,RV,Imod
178,22,SF,Imod
179,22,EL,Imod
180,22,LA,Imod
181,23,V,For
182,23,DF,For
183,23,KF,For
184,23,S,Imod
185,23,RV,Imod
186,23,SF,Imod
187,23,EL,Imod
188,23,LA,Imod
189,24,Steen Gade (SF),For
190,24,Özlem Sara Cekic (SF),For
191,24,EL,For
192,24,LA,For
193,24,V,Imod
194,24,S,Imod
195,24,DF,Imod
196,24,RV,Imod
197,24,SF,Imod
198,24,Joachim B. Olsen (LA),Imod
199,24,KF,Imod
200,25,EL,For
201,25,LA,For
202,25,V,Imod
203,25,S,Imod
204,25,DF,Imod
205,25,RV,Imod
206,25,SF,Imod
207,25,KF,Imod
208,26,EL,For
209,26,LA,For
210,26,V,Imod
211,26,S,Imod
212,26,DF,Imod
213,26,RV,Imod
214,26,SF,Imod
215,26,KF,Imod
216,27,DF,For
217,27,LA,For
218,27,V,Imod
219,27,S,Imod
220,27,RV,Imod
221,27,SF,Imod
222,27,EL,Imod
223,27,KF,Imod
224,28,V,For
225,28,S,For
226,28,DF,For
227,28,RV,For
228,28,SF,For
229,28,EL,For
230,28,LA,For
231,28,KF,For
232,29,V,For
233,29,S,For
234,29,DF,For
235,29,RV,For
236,29,SF,For
237,29,EL,For
238,29,LA,For
239,29,KF,For
240,30,SF,For
241,30,EL,For
242,30,V,Imod
243,30,S,Imod
244,30,DF,Imod
245,30,RV,Imod
246,30,LA,Imod
247,30,KF,Imod
248,31,V,For
249,31,S,For
250,31,RV,For
251,31,SF,For
252,31,LA,For
253,31,KF,For
254,31,DF,Imod
255,31,EL,Imod
256,32,V,For
257,32,S,For
258,32,DF,For
259,32,RV,For
260,32,SF,For
261,32,KF,For
262,32,EL,Imod
263,32,LA,Imod
264,33,V,For
265,33,S,For
266,33,DF,For
267,33,RV,For
268,33,SF,For
269,33,LA,For
270,33,KF,For
271,33,EL,Imod
272,34,Eyvind Vesselbo (V),For
273,34,S,For
274,34,RV,For
275,34,SF,For
276,34,EL,For
277,34,KF,For
278,34,V,Imod
279,34,DF,Imod
280,34,LA,Imod
281,35,S,For
282,35,DF,For
283,35,RV,For
284,35,SF,For
285,35,EL,For
286,35,KF,For
287,35,V,Imod
288,35,LA,Imod
289,35,Mai Mercado (KF),Imod
290,36,V,For
291,36,S,For
292,36,DF,For
293,36,RV,For
294,36,SF,For
295,36,LA,For
296,36,EL,Imod
297,36,KF,Imod
298,37,V,For
299,37,S,For
300,37,RV,For
301,37,SF,For
302,37,EL,For
303,37,LA,For
304,37,KF,For
305,37,DF,Imod
306,38,EL,For
307,38,V,Imod
308,38,S,Imod
309,38,DF,Imod
310,38,RV,Imod
311,38,SF,Imod
312,38,LA,Imod
313,38,KF,Imod
314,39,S,For
315,39,RV,For
316,39,SF,For
317,39,EL,For
318,39,V,Imod
319,39,DF,Imod
320,39,LA,Imod
321,39,KF,Imod
322,40,V,For
323,40,S,For
324,40,DF,For
325,40,RV,For
326,40,SF,For
327,40,EL,For
328,40,LA,For
329,40,KF,For
330,41,V,For
331,41,S,For
332,41,DF,For
333,41,RV,For
334,41,SF,For
335,41,EL,For
336,41,LA,For
337,41,KF,For
338,42,S,For
339,42,DF,For
340,42,RV,For
341,42,SF,For
342,42,EL,For
343,42,KF,For
344,42,V,Imod
345,42,LA,Imod
346,43,V,For
347,43,S,For
348,43,RV,For
349,43,LA,For
350,43,KF,For
351,43,DF,Imod
352,43,SF,Imod
353,43,EL,Imod
354,44,V,For
355,44,S,For
356,44,DF,For
357,44,RV,For
358,44,SF,For
359,44,EL,For
360,44,LA,For
361,44,KF,For
362,45,S,For
363,45,RV,For
364,45,SF,For
365,45,EL,For
366,45,KF,For
367,45,V,Imod
368,45,DF,Imod
369,45,LA,Imod
370,46,V,For
371,46,S,For
372,46,DF,For
373,46,RV,For
374,46,SF,For
375,46,EL,For
376,46,KF,For
377,46,LA,Imod
378,47,S,For
379,47,RV,For
380,47,SF,For
381,47,EL,For
382,47,LA,For
383,47,V,Imod
384,47,DF,Imod
385,47,KF,Imod
386,48,V,For
387,48,S,For
388,48,DF,For
389,48,RV,For
390,48,SF,For
391,48,EL,For
392,48,KF,For
393,48,LA,Imod
394,49,LA,For
395,49,KF,For
396,49,S,Imod
397,49,RV,Imod
398,49,SF,Imod
399,49,EL,Imod
400,49,V,Hverken
401,49,DF,Hverken
402,50,V,For
403,50,DF,For
404,50,LA,For
405,50,KF,For
406,50,S,Imod
407,50,RV,Imod
408,50,SF,Imod
409,50,EL,Imod
410,51,DF,For
411,51,SF,For
412,51,EL,For
413,51,V,Imod
414,51,S,Imod
415,51,RV,Imod
416,51,LA,Imod
417,51,KF,Imod
418,52,V,For
419,52,S,For
420,52,DF,For
421,52,RV,For
422,52,SF,For
423,52,EL,For
424,52,LA,For
425,52,KF,For
426,53,DF,For
427,53,LA,For
428,53,V,Imod
429,53,S,Imod
430,53,RV,Imod
431,53,SF,Imod
432,53,EL,Imod
433,53,KF,Imod
434,54,V,For
435,54,S,For
436,54,DF,For
437,54,RV,For
438,54,SF,For
439,54,EL,For
440,54,LA,For
441,54,KF,For
442,55,EL,For
443,55,LA,For
444,55,V,Imod
445,55,S,Imod
446,55,DF,Imod
447,55,RV,Imod
448,55,SF,Imod
449,55,KF,Imod
450,56,V,For
451,56,S,For
452,56,DF,For
453,56,RV,For
454,56,LA,For
455,56,KF,For
456,56,SF,Imod
457,56,EL,Imod
458,57,V,For
459,57,S,For
460,57,DF,For
461,57,RV,For
462,57,SF,For
463,57,EL,For
464,57,LA,For
465,57,KF,For
466,58,S,For
467,58,DF,For
468,58,RV,For
469,58,SF,For
470,58,EL,For
471,58,V,Imod
472,58,KF,Imod
473,58,LA,Hverken
474,59,V,For
475,59,S,For
476,59,DF,For
477,59,RV,For
478,59,SF,For
479,59,EL,For
480,59,LA,For
481,59,KF,For
482,60,S,For
483,60,RV,For
484,60,SF,For
485,60,EL,For
486,60,LA,For
487,60,V,Imod
488,60,DF,Imod
489,60,KF,Imod
490,61,V,For
491,61,S,For
492,61,RV,For
493,61,KF,For
494,61,DF,Imod
495,61,SF,Imod
496,61,EL,Imod
497,61,LA,Imod
498,62,V,For
499,62,S,For
500,62,DF,For
501,62,RV,For
502,62,SF,For
503,62,EL,For
504,62,LA,For
505,62,KF,For
506,63,V,For
507,63,S,For
508,63,DF,For
509,63,RV,For
510,63,SF,For
511,63,EL,For
512,63,LA,For
513,63,KF,For
514,64,V,For
515,64,S,For
516,64,DF,For
517,64,RV,For
518,64,SF,For
519,64,LA,For
520,64,KF,For
521,64,EL,Imod
522,65,V,For
523,65,DF,For
524,65,KF,For
525,65,S,Imod
526,65,RV,Imod
527,65,SF,Imod
528,65,EL,Imod
529,65,LA,Imod
530,66,V,For
531,66,DF,For
532,66,LA,For
533,66,KF,For
534,66,S,Imod
535,66,RV,Imod
536,66,SF,Imod
537,66,EL,Imod
538,67,SF,For
539,67,EL,For
540,67,V,Imod
541,67,S,Imod
542,67,DF,Imod
543,67,RV,Imod
544,67,LA,Imod
545,67,KF,Imod
546,68,SF,For
547,68,EL,For
548,68,V,Imod
549,68,S,Imod
550,68,DF,Imod
551,68,RV,Imod
552,68,LA,Imod
553,68,KF,Imod
554,69,V,For
555,69,S,For
556,69,DF,For
557,69,RV,For
558,69,SF,For
559,69,EL,For
560,69,LA,For
561,69,KF,For
562,70,EL,For
563,70,LA,For
564,70,KF,For
565,70,V,Imod
566,70,S,Imod
567,70,DF,Imod
568,70,RV,Imod
569,70,SF,Imod
570,71,V,For
571,71,DF,For
572,71,LA,For
573,71,KF,For
574,71,S,Imod
575,71,RV,Imod
576,71,SF,Imod
577,71,EL,Imod
578,72,V,For
579,72,S,For
580,72,DF,For
581,72,RV,For
582,72,SF,For
583,72,LA,For
584,72,KF,For
585,72,EL,Imod
586,73,V,For
587,73,S,For
588,73,DF,For
589,73,RV,For
590,73,SF,For
591,73,EL,For
592,73,LA,For
593,73,KF,For
594,74,V,For
595,74,S,For
596,74,DF,For
597,74,RV,For
598,74,SF,For
599,74,EL,For
600,74,LA,For
601,74,KF,For
602,75,EL,For
603,75,LA,For
604,75,V,Imod
605,75,S,Imod
606,75,DF,Imod
607,75,RV,Imod
608,75,SF,Imod
609,75,KF,Imod
610,76,EL,For
611,76,LA,For
612,76,V,Imod
613,76,S,Imod
614,76,DF,Imod
615,76,RV,Imod
616,76,SF,Imod
617,76,KF,Imod
618,77,EL,For
619,77,LA,For
620,77,V,Imod
621,77,S,Imod
622,77,DF,Imod
623,77,RV,Imod
624,77,SF,Imod
625,77,KF,Imod
626,78,EL,For
627,78,LA,For
628,78,V,Imod
629,78,S,Imod
630,78,DF,Imod
631,78,RV,Imod
632,78,SF,Imod
633,78,KF,Imod
634,79,EL,For
635,79,LA,For
636,79,V,Imod
637,79,S,Imod
638,79,DF,Imod
639,79,RV,Imod
640,79,SF,Imod
641,79,KF,Imod
642,80,EL,For
643,80,V,Imod
644,80,S,Imod
645,80,DF,Imod
646,80,RV,Imod
647,80,SF,Imod
648,80,LA,Imod
649,80,KF,Imod
650,81,EL,For
651,81,V,Imod
652,81,S,Imod
653,81,DF,Imod
654,81,RV,Imod
655,81,SF,Imod
656,81,LA,Imod
657,81,KF,Imod
658,82,SF,For
659,82,EL,For
660,82,V,Imod
661,82,S,Imod
662,82,DF,Imod
663,82,RV,Imod
664,82,LA,Imod
665,82,KF,Imod
666,83,EL,For
667,83,LA,For
668,83,V,Imod
669,83,S,Imod
670,83,DF,Imod
671,83,RV,Imod
672,83,SF,Imod
673,83,KF,Imod
674,84,EL,For
675,84,LA,For
676,84,V,Imod
677,84,S,Imod
678,84,DF,Imod
679,84,RV,Imod
680,84,SF,Imod
681,84,KF,Imod
682,85,EL,For
683,85,LA,For
684,85,V,Imod
685,85,S,Imod
686,85,DF,Imod
687,85,RV,Imod
688,85,SF,Imod
689,85,KF,Imod
690,86,EL,For
691,86,V,Imod
692,86,S,Imod
693,86,DF,Imod
694,86,RV,Imod
695,86,SF,Imod
696,86,KF,Imod
697,86,LA,Hverken
698,87,EL,For
699,87,V,Imod
700,87,S,Imod
701,87,DF,Imod
702,87,RV,Imod
703,87,SF,Imod
704,87,KF,Imod
705,87,LA,Hverken
706,88,EL,For
707,88,LA,For
708,88,V,Imod
709,88,S,Imod
710,88,DF,Imod
711,88,RV,Imod
712,88,SF,Imod
713,88,KF,Imod
714,89,S,For
715,89,RV,For
716,89,SF,For
717,89,EL,For
718,89,V,Imod
719,89,DF,Imod
720,89,LA,Imod
721,89,KF,Imod
722,90,V,For
723,90,S,For
724,90,RV,For
725,90,SF,For
726,90,EL,For
727,90,KF,For
728,90,LA,Imod
729,90,DF,Hverken
730,91,V,For
731,91,S,For
732,91,RV,For
733,91,SF,For
734,91,EL,For
735,91,KF,For
736,91,DF,Imod
737,91,LA,Imod
738,92,V,For
739,92,S,For
740,92,DF,For
741,92,RV,For
742,92,SF,For
743,92,LA,For
744,92,KF,For
745,92,EL,Imod
746,93,DF,For
747,93,SF,For
748,93,V,Imod
749,93,S,Imod
750,93,RV,Imod
751,93,EL,Imod
752,93,LA,Imod
753,93,KF,Imod
754,93,UFG,Imod
755,94,EL,For
756,94,V,Imod
757,94,S,Imod
758,94,DF,Imod
759,94,RV,Imod
760,94,SF,Imod
761,94,LA,Imod
762,94,KF,Imod
763,95,EL,For
764,95,V,Imod
765,95,S,Imod
766,95,DF,Imod
767,95,RV,Imod
768,95,SF,Imod
769,95,LA,Imod
770,95,KF,Imod
771,96,EL,For
772,96,V,Imod
773,96,S,Imod
774,96,DF,Imod
775,96,RV,Imod
776,96,SF,Imod
777,96,LA,Imod
778,96,KF,Imod
779,97,EL,For
780,97,V,Imod
781,97,S,Imod
782,97,DF,Imod
783,97,RV,Imod
784,97,SF,Imod
785,97,LA,Imod
786,97,KF,Imod
787,98,EL,For
788,98,V,Imod
789,98,S,Imod
790,98,DF,Imod
791,98,RV,Imod
792,98,SF,Imod
793,98,LA,Imod
794,98,KF,Imod
795,99,EL,For
796,99,V,Imod
797,99,S,Imod
798,99,DF,Imod
799,99,RV,Imod
800,99,SF,Imod
801,99,LA,Imod
802,99,KF,Imod
803,100,EL,For
804,100,V,Imod
805,100,S,Imod
806,100,DF,Imod
807,100,RV,Imod
808,100,SF,Imod
809,100,LA,Imod
810,100,KF,Imod
