11079,Lodspligt for fragtskibe der passere Limfjordsbroerne.,2024-05-03 12:32:08.083,5
11214,Om oprettelse af en offerfond.,2024-05-03 12:05:41.387,5
11235,Om flygtninges optjening af førtidspension.,2024-05-03 12:19:07.020,5
11655,Om kommunernes tilslutning til DUBU-systemet.,2024-05-03 12:20:14.457,5
11667,Om den indenrigs- og udenrigspolitiske situation.,2025-04-01 16:18:05.710,2
11668,"Om regulering af grundvederlaget, modregning i eftervederlaget det første år, optjening af beløb til efteruddannelse m.v., forhøjelse af pensionsalder for egenpension m.v.",2025-01-15 16:09:23.217,3
11678,Om en nyordning af folketingsmedlemmers vederlagsordning og nedsættelse af en lønkommission.,2025-01-15 15:22:45.240,5
12016,Om regulering af faglige organisationers konfliktret over for virksomheder med overenskomst.,2024-05-03 12:21:09.847,5
12067,Forslag til forordning om adgangen for tredjelande til offentlige udbud i EU (IPI-forordningen),2024-08-12 14:32:21.367,7
12272,Forslag til forordning om tvistbilæggelse mellem investorer og stater for voldgiftsretter ved internationale aftaler,2024-08-06 10:14:30.170,7
12751,Om situationen i Mellemøsten og Nordafrika (hasteforespørgsel).,2025-04-01 16:22:49.940,2
13474,Om folketingsmedlemmers pensionsvilkår.,2025-01-15 15:35:50.247,5
13475,Om folketingsmedlemmers eftervederlag.,2025-01-15 15:34:29.070,5
13747,Om natur- og vandplaner.,2024-03-14 09:01:14.463,9
13749,Om natur- og vandplaner.,2024-03-14 09:01:35.840,9
14150,Om samarbejdet mellem Danmark og Grønland.,2025-04-01 16:25:56.590,2
14768,Om ventetid på respirationscentrene.,2024-03-14 09:01:50.710,9
15237,Om ændring af ombudsmandsloven.,2025-01-15 15:33:11.420,5
15308,Om nedskæringer på professionshøjskolerne.,2024-03-14 09:10:48.793,9
15309,Om nedskæringer på professionshøjskolerne.,2024-03-14 09:12:25.803,9
15336,"Forslag til direktiv om kreditaftaler i forbindelse med fast ejendom til beboelse ",2023-09-14 14:42:37.420,7
15412,Meddelelse fra Kommissionen til Europa Parlamentet og Rådet hen imod et styrket eu-katastrofeberedskab,2023-05-26 10:15:14.220,7
15518,Forslag til forordning om elektronisk offentliggørelse af EU-Tidende,2025-01-28 12:26:06.547,7
15570,Om verbalnote om Kina/Tibet.,2025-04-01 16:21:52.600,2
15632,Beretning for 2010 om anvendelsen af EU's Charter for grundlæggende rettigheder,2022-11-08 12:51:29.930,7
