;;;;;;;;;;
;;;;;;;;;;
ROUND;TEAM;GOALS;GOALS_AGAINST;SHOTS;xGOALS;POSSESSION;CORNERS;FOULS_COMMITTED;CARDS_RED;CARDS_YELLOW
12;AaB;0;2;22;02.05;52%;6;10;0;4
12;Lyngby Boldklub;0;0;10;00.08;52.6%;10;13;0;3
12;Viborg FF;0;0;14;01.02;47.4%;4;5;1;2
12;Brøndby IF;0;1;8;1;58.7%;4;13;0;3
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
